"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"150","1",1976,"3",693,1598.05,0.8
"151","0",1764,"2",424,1650.42,0.2
"152","0",1423,"1",209,2119.43,1
"153","0",1479,"2",145,5168.31,2
"154","0",1346,"3",50,1696.97,0.8
"155","0",1843,"2",496,2680.24,0
"156","1",1349,"2",579,1316.02,3
"157","0",1352,"1",718,1772.5,0
"158","0",1357,"2",704,656,0
"159","1",1357,"1",697,928.88,0.4
"160","0",1499,"3",199,4821.21,2.2
"161","0",1522,"3",171,1661.4,0.2
"162","1",1688,"1",825,2625.36,0.4
"163","1",1872,"2",669,2379.22,0
"164","1",1373,"3",712,2092.5,0
"165","1",1831,"1",812,2446.02,2.2
"166","0",2204,"3",830,1482,0
"167","0",1612,"3",274,1223.13,0
"168","0",1527,"2",499,908.53,2.4
"169","0",1380,"1",566,1345.41,0.8
"170","0",1389,"1",33,2754.86,4.4
"171","0",1597,"3",669,2106,0.4
"172","0",1386,"1",643,1255.46,5.2
"173","0",1673,"3",720,2023.11,1.2
"174","0",1394,"2",338,2107.81,0
"175","0",1627,"3",546,2032.52,0.4
"176","1",1551,"1",577,1018.79,0
"177","0",1803,"1",558,1120.54,0.2
"178","0",2016,"1",615,3419.63,0.6
"179","0",1402,"2",490,4094.56,2.2
"180","1",1410,"1",1045,1746.73,0.4
"181","1",1428,"3",792,2121.5,0.6
"182","0",1417,"2",210,2094.86,1.6
"183","0",1556,"2",138,2007.14,1
"184","0",1502,"1",469,3895,0.6
"185","1",2058,"3",793,979.85,0.6
"186","1",1799,"3",764,1483.5,2
"187","1",2179,"3",750,737.5,1.8
"188","0",1326,"1",210,1839.23,0.2
"189","0",1521,"1",544,1715.7,0.4
"190","0",1435,"1",148,570.55,0
"191","1",2112,"1",674,3110.26,0.4
"192","1",1813,"2",586,2357.13,0.6
"193","0",1493,"1",314,6033.92,0.8
"194","1",1855,"1",457,2374.34,1.6
"195","0",1962,"2",849,836.8,0
"196","0",1955,"3",502,2279.34,0
"197","1",1460,"1",714,1864.81,1.2
"198","0",1687,"1",418,1597.56,0.6
"199","0",1485,"3",374,3597.13,0.6
"200","1",1831,"1",355,2175.5,0.8
"201","0",1679,"1",473,1607,0.2
"202","0",1770,"3",627,1861.61,0.4
"203","1",1487,"1",424,595,0
"204","0",1499,"3",678,2613.75,0.2
"205","1",1502,"1",713,1760,0.4
"206","0",1660,"2",158,12406,2.4
"207","0",1839,"1",331,1640.15,3
"208","0",1535,"3",447,4231.5,0
"209","1",1871,"3",512,772.98,0
"210","1",1514,"3",618,3509.27,0.4
"211","1",2144,"1",448,1350.08,0
"212","0",1761,"2",249,1147.82,3.8
"213","1",1686,"1",666,1151.87,0.4
"214","1",1521,"1",557,1900,0
"215","1",2059,"1",624,1367.25,0.2
"216","1",2029,"2",500,2242.48,0.4
"217","1",1911,"2",670,2275,1.25
"218","0",1538,"3",240,2445.23,1.6
"219","0",1681,"3",275,1307.34,0.2
"220","1",1672,"1",566,1573.82,1.2
"221","1",1800,"3",369,2358.79,0.2
"222","0",1917,"3",657,2397.24,1
"223","0",1547,"3",293,2070.89,0.2
"224","0",1548,"2",52,2136,0.2
