"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"650","1",1819,"1",404,2028.44,1.2
"651","1",2118,"3",303,1402,0
"652","0",1095,"1",729,1548.61,0.6
"653","1",1835,"3",331,998.52,0
"654","1",1837,"3",311,2082.96,0
"655","1",1843,"3",369,4651.25,0.6
"656","1",1878,"3",213,2730,0
"657","1",1855,"1",132,6771,0.2
"658","1",2003,"3",356,1944.87,0.4
"659","1",1311,"3",910,1183.5,0.6
"660","0",1869,"3",625,2843.89,0.4
"661","1",1894,"3",79,2597.7,0.2
"662","1",1882,"1",339,17255.55,2.8
"663","1",1942,"3",324,2051.86,1
"664","1",1171,"1",1016,2064.41,1.8
"665","1",1897,"1",330,5717.25,1
"666","0",1289,"1",796,2453.54,1.8
"667","1",1901,"1",48,1004.81,0
"668","1",1907,"1",292,2106,1.2
"669","0",1208,"1",1083,1261.5,0
"670","1",2005,"3",115,4005.68,0.8
"671","1",1953,"3",296,2678.62,1.8
"672","1",1286,"1",910,1500.89,1.2
"673","1",1963,"1",113,8622.4,7.2
"674","0",1387,"3",545,1590.14,0
"675","1",1450,"2",700,1676.33,1.2
"676","1",2012,"1",140,1299.72,2
"677","1",1470,"1",490,4334.05,1
"678","0",1173,"1",788,1855.72,0.2
"679","0",1114,"1",852,2186.76,2.2
"680","1",2023,"3",106,1719.15,1
"681","1",1970,"3",229,1227.37,0.4
"682","1",1975,"3",108,5185.71,0.2
"683","1",1675,"3",302,1231,0
"684","1",2117,"1",167,1285.63,0.4
"685","1",1977,"1",357,2440.38,0.2
"686","0",2004,"1",901,1467.17,1.2
"687","1",2010,"2",17,2451.84,1.4
"688","1",2057,"2",204,8760.33,4.4
"689","0",1160,"3",876,2282.55,0
"690","1",1507,"1",505,1865.66,0.6
"691","1",2016,"3",203,2817.66,0.4
"692","1",2035,"1",615,3064.5,3.8
"693","1",2129,"3",42,3410.53,2
"694","1",1120,"1",1079,1536.48,0.2
"695","1",1646,"1",489,2385.17,1
"696","1",2163,"3",122,9432.53,3.5
"697","0",2214,"3",1095,1453.08,0.2
"698","1",2073,"2",615,9823.12,2.2
"699","1",2075,"3",126,2696.45,0
"700","1",1450,"1",829,1713.56,0.4
"701","0",1189,"3",648,3719.41,0.4
"702","1",2118,"3",49,3654.6,0.4
"703","1",1922,"1",201,1220.59,0.4
"704","1",2133,"2",696,2317.9,0.8
"705","1",2194,"3",89,2068.69,0.8
"706","1",1848,"1",437,2751,0
"707","1",2191,"3",11,3177.37,0.2
"708","0",1221,"2",978,3506.03,6
"709","1",1535,"1",851,1336.9,1
"710","1",2030,"3",333,1591.36,0.4
"711","1",2223,"1",890,3911.09,0.2
"712","1",2055,"1",394,2142.08,0.4
"713","0",1238,"3",931,1318.5,1
"714","1",1711,"1",933,1993.44,1.6
"715","1",1996,"3",183,801.99,0.2
"716","1",1539,"1",735,1292.25,0
"717","1",1649,"1",822,1004.59,0.2
"718","1",1759,"1",946,3518.58,0.4
"719","1",1901,"1",1090,2383.85,0.8
"720","0",1822,"1",646,1183.25,0
"721","1",1622,"1",1030,2278.86,0.6
"722","0",1289,"1",1011,1376.92,0
"723","0",1180,"1",677,1492.53,0
"724","0",1152,"1",1005,4104.36,4.6
"725","1",1216,"1",841,2417.65,0
"726","1",1234,"3",932,2512.14,0.2
"727","1",1826,"1",854,1736.59,0.4
"728","0",1948,"3",653,1722.56,0
"729","0",1499,"2",490,1421.99,0
"730","1",1511,"2",623,1662.15,0.6
"731","1",2050,"1",531,1905.87,0.2
"732","1",1594,"1",357,2251.4,0.2
"733","1",1999,"1",415,3016.35,1
"734","1",1699,"1",405,969.64,0
"735","0",1186,"3",593,2125.37,0.4
"736","1",1946,"1",176,3714.4,5.2
"737","1",1274,"1",945,1270.16,0
"738","0",1941,"1",656,1284.81,0.2
"739","1",1470,"2",889,1475.21,0.4
"740","1",2117,"3",150,4940.16,1.8
"741","1",1281,"1",908,1930.27,0
